trial,raw_sqnr_db,aligned_sqnr_db,alpha_real,alpha_imag
178,56.34123906403042,56.386417164549165,1.0001133467068903,-0.00010577583450321478
179,56.27358309909354,56.31768992276291,1.0001167568324676,-0.00010102187550386279
180,56.42815793652516,56.464483510239525,1.000081281800988,-0.00011115127269380099
181,56.34528570441194,56.39683737866889,1.0001150205489482,-0.00011896083515763249
182,56.403373655224655,56.45853107023349,1.00012946497553,-0.00011015905904754101
183,56.48565801812328,56.52946666993894,1.0001083833728797,-0.00010393013769220564
184,56.4328425105321,56.48439518395773,1.0001237668497769,-0.00010732035262452632
185,56.50177240210934,56.55384572620381,1.0001324166614551,-9.562830723752101e-05
186,56.39927131879786,56.44126292509333,1.0001024275582042,-0.0001075190579587153
187,56.39962668441644,56.4508128517878,1.0001106874122896,-0.00012082383980670999
188,56.38367024690935,56.44260643893497,1.0001338487822706,-0.00011440087083390653
189,56.2896386561082,56.35801238461224,1.0001521352980594,-0.00011649568948364652
190,56.47984219724006,56.53291378167678,1.000139161373689,-8.92153752784937e-05
191,56.43717371428444,56.47842769422365,1.0001100743164362,-9.675708884182734e-05
192,56.4017872609104,56.45582589978872,1.0001286213043605,-0.00010853839280939647
193,56.32684534450806,56.36733620318835,1.0001129652942191,-9.415014297897759e-05
194,56.30502184917571,56.348393840157456,1.000103483128237,-0.00011208903725053574
195,56.315860466835666,56.35293715980011,1.0000919722903459,-0.00010677159047402928
196,56.60237035710453,56.644174007248594,1.0001142239088425,-8.890380433275001e-05
197,56.461416908223285,56.51448549113158,1.000124107302141,-0.00010971078515888599
198,56.342647231595734,56.38943905597977,1.0001270421865036,-9.350308904157276e-05
199,56.442276639120635,56.48628316074391,1.000116680704531,-9.624516580637068e-05
